website_session_id,created_at,user_id,is_repeat_session,utm_source,utm_campaign,utm_content,device_type,http_referer
206362,"2014-03-01 00:18:13",178784,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
206363,"2014-03-01 00:20:03",178785,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
206364,"2014-03-01 00:21:59",178786,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
206365,"2014-03-01 00:25:06",178787,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206366,"2014-03-01 00:27:55",178788,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206367,"2014-03-01 00:28:29",178789,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206368,"2014-03-01 00:29:50",178790,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206369,"2014-03-01 00:34:28",150934,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
206370,"2014-03-01 00:39:56",178791,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
206371,"2014-03-01 00:41:48",178792,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
206372,"2014-03-01 00:43:57",178793,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206373,"2014-03-01 00:49:53",178794,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206374,"2014-03-01 00:51:44",178795,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
206375,"2014-03-01 00:54:46",168643,1,NULL,NULL,NULL,desktop,https://www.gsearch.com
206376,"2014-03-01 00:59:02",178796,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206377,"2014-03-01 01:01:46",178797,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206378,"2014-03-01 01:04:49",178798,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
206379,"2014-03-01 01:07:24",155246,1,NULL,NULL,NULL,desktop,NULL
206380,"2014-03-01 01:10:41",178799,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206381,"2014-03-01 01:11:49",178800,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206382,"2014-03-01 01:22:16",166846,1,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
206383,"2014-03-01 01:33:50",178801,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
206384,"2014-03-01 01:47:05",178802,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
206385,"2014-03-01 02:05:10",178803,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206386,"2014-03-01 02:07:54",156744,1,NULL,NULL,NULL,mobile,https://www.gsearch.com
206387,"2014-03-01 02:11:54",178804,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206388,"2014-03-01 02:14:37",178805,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
206389,"2014-03-01 02:18:46",178806,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206390,"2014-03-01 02:19:52",178807,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
206391,"2014-03-01 02:32:25",178808,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206392,"2014-03-01 02:35:49",178809,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206393,"2014-03-01 02:38:08",178810,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206394,"2014-03-01 02:53:09",178811,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
206395,"2014-03-01 02:56:36",178812,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206396,"2014-03-01 02:57:59",178813,0,socialbook,pilot,social_ad_1,mobile,https://www.socialbook.com
206397,"2014-03-01 03:22:32",153625,1,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
206398,"2014-03-01 03:23:36",178814,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
206399,"2014-03-01 03:24:38",178815,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206400,"2014-03-01 03:32:07",178816,0,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
206401,"2014-03-01 03:36:32",178817,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
206402,"2014-03-01 03:47:55",178818,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
206403,"2014-03-01 03:57:15",178819,0,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com
206404,"2014-03-01 03:59:50",178820,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com
206405,"2014-03-01 04:06:01",178821,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
