order_item_id,created_at,order_id,price_usd,cogs_usd,website_session_id
160,"2012-05-01 03:50:09",160,49.99,19.49,5619
161,"2012-05-01 10:34:08",161,49.99,19.49,5650
162,"2012-05-01 11:20:19",162,49.99,19.49,5654
163,"2012-05-01 12:10:41",163,49.99,19.49,5663
164,"2012-05-01 16:25:31",164,49.99,19.49,5705
165,"2012-05-02 11:50:21",165,49.99,19.49,5820
166,"2012-05-02 12:56:44",166,49.99,19.49,5830
167,"2012-05-02 17:15:10",167,49.99,19.49,5870
168,"2012-05-02 17:24:00",168,49.99,19.49,5873
169,"2012-05-03 09:03:53",169,49.99,19.49,5925
170,"2012-05-03 09:40:22",170,49.99,19.49,5927
171,"2012-05-03 15:19:38",171,49.99,19.49,5976
172,"2012-05-03 16:24:32",172,49.99,19.49,5987
173,"2012-05-03 23:52:58",173,49.99,19.49,6017
174,"2012-05-04 05:22:36",174,49.99,19.49,6036
175,"2012-05-04 10:24:35",175,49.99,19.49,6056
176,"2012-05-04 16:56:05",176,49.99,19.49,6123
177,"2012-05-08 15:59:05",177,49.99,19.49,6481
178,"2012-05-08 16:18:21",178,49.99,19.49,6487
179,"2012-05-09 01:00:09",179,49.99,19.49,6536
180,"2012-05-09 01:40:07",180,49.99,19.49,6539
181,"2012-05-09 09:04:41",181,49.99,19.49,6562
182,"2012-05-09 10:16:50",182,49.99,19.49,6571
183,"2012-05-09 13:36:25",183,49.99,19.49,6603
184,"2012-05-09 14:59:36",184,49.99,19.49,6614
185,"2012-05-09 17:01:21",185,49.99,19.49,6629
186,"2012-05-09 17:41:14",186,49.99,19.49,6637
187,"2012-05-10 09:54:16",187,49.99,19.49,6692
188,"2012-05-10 18:45:17",188,49.99,19.49,6765
189,"2012-05-10 21:29:58",189,49.99,19.49,6781
190,"2012-05-11 11:10:14",190,49.99,19.49,6836
191,"2012-05-11 15:06:01",191,49.99,19.49,6889
192,"2012-05-11 21:20:08",192,49.99,19.49,6927
